38	1974	2	1	6	6	"426/99"	"US"		6	4	1976	1	"A23L  122"	"A23L"	1	1	10	426	426	3949094	10507838	"NY"	""	61	61	99	"99"	"99"	99	0	500130
16	1975	1		5	5	"124/27"	""		13	4	1976	1	"F41B  704"	"F41B"	7	1	6	124	124	3949731		"MA"	""	59	59	27	"27"	"27"	27	0	0
1	1974	3	1	4	4	"60/538"	"EN"		20	4	1976	1	"F15B  702"	"F15B"	7	1	8	60	60	3950948	10125670	""	""	45	45	538	"538"	"538"	538	0	175240
56	1974	2	1	6	6	"126/206"	"US"		20	4	1976	1	"A61F  706"	"A61F"	7	1	37	126	126	3951127	10431556	"CA"	""	66	66	206	"206"	"206"	206	0	307895
16	1974	2	1	6	6	"126/691"	"US"		20	4	1976	1	"F24J  302"	"F24J"	3	1	8	126	126	3951128	10051128	"IA"	""	66	66	691	"691"	"271"	271	0	551665
14	1973	2	1	1	1	"44/331"	"US"	05jan1991	20	4	1976	1	"C10L  122"	"C10L"	1	1	9	44	44	3951614	10228403	"CA"	""	19	19	331	"331"	"58"	58	0	101491
16	1974	2	1	5	4	"141/1.1"	"US"		20	4	1976	1	"H01M 3526"	"H01M"	35	1	10	141	136	3951688	10679547	"CO"	""	51	45	1.1	"1.1"	"67"	67	0	215420
8	1973	3	1	4		"257/443"	"JA"		20	4	1976	1	"H01L 2948"	"H01L"	29	1	13	257	357	3952323	10323395	""	""	46		443	"443"	"15"	15	0	418590
1	1972	2	1	4	4	"60/553"	"US"		27	4	1976	1	"F15B  910"	"F15B"	9	1	35	60	60	3952518	10184604	"NY"	""	45	45	553	"553"	"553"	553	0	287565
20	1975	2	1	6	6	"126/247"	"US"		27	4	1976	1	"F24C  900"	"F24C"	9	1	5	126	126	3952723	10052723	"NH"	""	66	66	247	"247"	"247"	247	0	77920
32	1974	2	1	6	6	"126/655"	"US"		27	4	1976	1	"F24J  302"	"F24J"	3	1	18	126	126	3952724	10109937	"OH"	""	66	66	655	"655"	"271"	271	0	424145
2	1974	1		6	6	"236/34"	""		27	4	1976	1	"F01P  702"	"F01P"	7	1	5	236	236	3952946		"DE"	""	69	69	34	"34"	"34"	34	0	0
3	1974	3	2	4	4	"429/253"	"JA"		27	4	1976	1	"H01M  436"	"H01M"	4	1	1	429	136	3953236	20053236	""	""	45	45	253	"253"	"26"	26	0	305215
11	1974	2	1	4		"257/532"	"US"		27	4	1976	1	"H01L 2702"	"H01L"	27	1	4	257	357	3953875	10459780	"IL"	""	46		532	"532"	"51"	51	0	386735
22	1975	1		4	4	"60/641.6"	""		4	5	1976	1	"F03G  704"	"F03G"	7	1	41	60	60	3953971		"TX"	""	45	45	641.6	"641.6"	"641"	641	0	0
1	1973	3	1	5	5	"125/1"	"CS"		4	5	1976	1	"B28D  100"	"B28D"	1	1	6	125	125	3954096	10031111	""	""	51	51	1	"1"	"1"	1	0	97135
13	1975	1		4	4	"429/212"	""		4	5	1976	1	"H01M 3502"	"H01M"	35	1	9	429	136	3954501		"FL"	""	45	45	212	"212"	"24"	24	0	0
10	1974	2	1	1	1	"204/263"	"US"		4	5	1976	1	"C25B  900"	"C25B"	9	1	9	204	204	3954594	10279693	"CA"	""	19	19	263	"263"	"263"	263	0	480040
13	1974	2	1	1	1	"208/424"	"US"		4	5	1976	1	"C10G  104"	"C10G"	1	1	13	208	208	3954595	10427219	"NJ"	""	19	19	424	"424"	"8"	8	0	345115
12	1974	4		6	6	"126/522"	""		11	5	1976	1	"F24H  308"	"F24H"	3	1	3	126	126	3955553		"MN"	""	66	66	522	"522"	"121"	121	0	0
4	1974	1		6	6	"126/586"	""		11	5	1976	1	"F24J  302"	"F24J"	3	1	11	126	126	3955554		"FL"	""	66	66	586	"586"	"270"	270	0	0
10	1974	2	1	4	4	"429/234"	"US"		11	5	1976	1	"H01M 3508"	"H01M"	35	1	18	429	136	3956012	10205139	"CA"	""	45	45	234	"234"	"58"	58	0	498155
2	1975	3	1	4	4	"429/19"	"JA"		11	5	1976	1	"H01M  804"	"H01M"	8	1	1	429	136	3956013	10078381	""	""	45	45	19	"19"	"86"	86	0	210715
14	1974	2	1	4	4	"429/42"	"US"		11	5	1976	1	"H01M  400"	"H01M"	4	1	11	429	136	3956014	10045844	"CT"	""	45	45	42	"42"	"86"	86	0	597550
2	1975	6	1	4	4	"429/12"	"US"		11	5	1976	1	"H01M  802"	"H01M"	8	1	2	429	136	3956015	10150062	"DC"	""	45	45	12	"12"	"86"	86	0	597180
0	1975	3	1	4	4	"429/19"	"JA"		11	5	1976	1	"H01M  804"	"H01M"	8	1	2	429	136	3956016	10078381	""	""	45	45	19	"19"	"86"	86	0	210715
6	1974	3	1	2	5	"396/567"	"DT"		11	5	1976	1	"G03D 1300"	"G03D"	13	1	15	396	354	3956764	10031156	""	""	22	54	567	"567"	"298"	298	0	10985
5	1974	2	1	5	5	"125/12"	"US"		18	5	1976	1	"B28D  102"	"B28D"	1	1	6	125	125	3957028	10055147	"NY"	""	51	51	12	"12"	"12"	12	0	601715
20	1973	2	1	6	6	"126/648"	"US"		18	5	1976	1	"F25J  302"	"F25J"	3	1	5	126	126	3957029	10144127	"CT"	""	66	66	648	"648"	"270"	270	0	24425
11	1975	6	1	6	6	"126/687"	"US"		18	5	1976	1	"F24J  302"	"F24J"	3	1	3	126	126	3957030	10030628	"DC"	""	66	66	687	"687"	"270"	270	0	597260
9	1974	2	1	1	1	"44/280"	"US"		18	5	1976	1	"C10L  500"	"C10L"	5	1	29	44	44	3957456	10266734	"TX"	""	19	19	280	"280"	"10"	10	0	508865
4	1974	1		1	1	"48/73"	""	08oct1991	18	5	1976	1	"C10J  320"	"C10J"	3	1	7	48	48	3957457		"NY"	""	13	13	73	"73"	"73"	73	0	0
9	1974	3	1	4	4	"429/247"	"DT"		18	5	1976	1	"H01M  486"	"H01M"	4	1	8	429	136	3957534	10084742	""	""	45	45	247	"247"	"86"	86	0	144245
3	1971	2	1	4	4	"429/13"	"US"		18	5	1976	1	"H01M 2700"	"H01M"	27	1	2	429	136	3957535	10117336	"NJ"	""	45	45	13	"13"	"86"	86	0	186590
0	1975	3	1	4	4	"429/26"	"JA"		18	5	1976	1	"H01M  804"	"H01M"	8	1	3	429	136	3957536	10078381	""	""	45	45	26	"26"	"86"	86	0	210715
14	1974	1		1	1	"204/270"	""		18	5	1976	1	"C25B  102"	"C25B"	1	1	3	204	204	3957618		"CH"	""	19	19	270	"270"	"270"	270	0	0
6	1974	2	1	6	6	"126/247"	"US"	30apr1991	25	5	1976	1	"F24C 1532"	"F24C"	15	1	6	126	126	3958552	10077387	"IL"	""	66	66	247	"247"	"247"	247	0	68850
6	1974	6	1	6	6	"126/648"	"US"		25	5	1976	1	"F24J  302"	"F24J"	3	1	4	126	126	3958553	10030628	"DC"	""	66	66	648	"648"	"270"	270	0	597260
11	1974	3	1	5	4	"29/2"	"JA"		25	5	1976	1	"H01M  482"	"H01M"	4	1	2	29	136	3959016	10151284	""	""	52	45	2	"2"	"67"	67	0	212365
2	1973	3	1	4	4	"429/14"	"DT"		25	5	1976	1	"H01M  802"	"H01M"	8	1	9	429	136	3959017	10046326	""	""	45	45	14	"14"	"86"	86	0	336500
17	1974	2	1	4	4	"429/40"	"US"	26nov1991	25	5	1976	1	"H01M  432"	"H01M"	4	1	9	429	136	3959018	10042115	"DC"	""	45	45	40	"40"	"86"	86	0	113870
10	1974	1		6	6	"126/24"	""		1	6	1976	1	"F24C 1510"	"F24C"	15	1	7	126	126	3960134		"MI"	""	66	66	24	"24"	"24"	24	0	0
16	1974	1		6	6	"126/628"	""		1	6	1976	1	"F24J  302"	"F24J"	3	1	7	126	126	3960135		"NJ"	""	66	66	628	"628"	"270"	270	0	0
0	1975	2	1	5	4	"29/592.1"	"US"		1	6	1976	1	"H01M 1000"	"H01M"	10	1	11	29	136	3960597	10159718	"PA"	""	52	45	592.1	"592.1"	"6"	6	0	179750
1	1975	3	1	5	4	"29/592.1"	"FR"		1	6	1976	1	"H01M 3100"	"H01M"	31	1	6	29	136	3960599	10091844	""	""	52	45	592.1	"592.1"	"111"	111	0	489125
8	1974	2	1	1	1	"204/268"	"US"		1	6	1976	1	"C25C  704"	"C25C"	7	1	8	204	204	3960699	10315026	"MI"	""	19	19	268	"268"	"268"	268	0	54375
8	1974	1		1	1	"201/29"	""	04nov1992	1	6	1976	1	"C10G  104"	"C10G"	1	1	11	201	208	3960701		"MD"	""	19	19	29	"29"	"8"	8	0	0
7	1974	2	1	5	5	"123/406.57"	"US"		8	6	1976	1	"F02P  504"	"F02P"	5	1	5	123	123	3961618	10434509	"OH"	""	53	53	406.57	"406.57"	"148"	148	0	171655
8	1974	3	1	4	4	"429/223"	"JA"		8	6	1976	1	"H01M 4304"	"H01M"	43	1	9	429	136	3961985	10040685	""	""	45	45	223	"223"	"28"	28	0	581270
4	1975	2	1	4	4	"429/17"	"US"		8	6	1976	1	"H01M  806"	"H01M"	8	1	7	429	136	3961986	10045844	"CT"	""	45	45	17	"17"	"86"	86	0	597550
27	1974	3	1	1	1	"204/649"	"JA"		8	6	1976	1	"B01D 1302"	"B01D"	13	1	9	204	204	3962069	10113526	""	""	19	19	649	"649"	"300"	300	0	274200
8	1975	1		4	4	"60/453"	""		15	6	1976	1	"F15B 1518"	"F15B"	15	1	38	60	60	3962872		"OH"	""	45	45	453	"453"	"453"	453	0	0
29	1974	3	1	5	5	"29/739"	"JA"		15	6	1976	1	"H05K  330"	"H05K"	3	1	4	29	29	3963456	11205194	""	""	52	52	739	"739"	"203"	203	0	532110
1	1970	2	1	4	4	"429/305"	"US"		15	6	1976	1	"H01M  436"	"H01M"	4	1	3	429	136	3963518	10164151	"NY"	""	45	45	305	"305"	"83"	83	0	595200
3	1974	3	1	1	1	"204/277"	"FR"		15	6	1976	1	"C25B  900"	"C25B"	9	1	30	204	204	3963597	10042085	""	""	19	19	277	"277"	"277"	277	0	10925
9	1974	2	1	6	6	"126/41R"	"US"		22	6	1976	1	"A47J 3700"	"A47J"	37	1	5	126	126	3964463	10128904	"IN"	""	66	66		"41R"	"41"	41	0	36820
